hgnc	chrom	3UTR_length	5UTR_GC	5UTR_length
HGNC:3005	chr20	262.0	0.6666666666666666	9.0
HGNC:19285	chr1	4082.0	0.6226415094339622	159.0
HGNC:25565	chr1	1093.0	0.4269662921348314	356.0
HGNC:3697	chr1	850.0	0.7208121827411168	197.0
HGNC:4883	chr1	191.0	0.3866666666666666	75.0
HGNC:4008	chr6	895.0	0.7209302325581395	86.0
HGNC:4311	chr6	1415.0	0.7609649122807017	456.0
HGNC:7804	chr6	4993.0	0.6511627906976745	172.0
HGNC:28070	chr1	1544.0	0.5536723163841808	177.0
HGNC:25233	chr1	3791.0	0.5666666666666667	360.0
HGNC:3359	chr6	3048.0	0.6837606837606838	234.0
HGNC:10728	chr3	960.0	0.7854671280276817	289.0
HGNC:1884	chr7	1557.0	0.6285714285714286	70.0
HGNC:22215	chr7	2434.0	0.6839622641509434	636.0
HGNC:2649	chr7	1512.0	0.6283185840707964	113.0
HGNC:1573	chr7	1323.0	0.4440366972477064	545.0
HGNC:9824	chr12	1655.0	0.5945945945945946	111.0
HGNC:936	chr11	379.0	0.7441860465116279	43.0
HGNC:18449	chr4	381.0	0.7425373134328358	268.0
HGNC:5194	chr4	5932.0	0.6875	304.0
HGNC:80	chr7	295.0	0.6206896551724138	58.0
HGNC:16267	chr7	1759.0	0.6109215017064846	293.0
HGNC:22195	chr7	4075.0	0.6175942549371634	557.0
HGNC:6762	chr7	275.0	0.6273764258555133	263.0
HGNC:6513	chr17	2992.0	0.7196969696969697	132.0
HGNC:14975	chr17	2093.0	0.5930232558139535	86.0
HGNC:24930	chr7	250.0	0.72	75.0
HGNC:6752	chr12	1457.0	0.6415094339622641	159.0
HGNC:20581	chr2	2989.0	0.7142857142857143	28.0
HGNC:5343	chr7	739.0	0.5490196078431373	153.0
HGNC:28455	chr16	1464.0	0.8260869565217391	115.0
HGNC:443	chr2	1584.0	0.5641025641025641	117.0
HGNC:1500	chr2	3924.0	0.4342857142857143	175.0
