hgnc	chrom	obs_lof	exp_lof
HGNC:3005	chr20	9.0	17.98
HGNC:19285	chr1	8.0	34.32
HGNC:25565	chr1	23.0	44.636
HGNC:3697	chr1	6.0	27.837
HGNC:4883	chr1	13.0	63.739
HGNC:4008	chr6	14.0	24.261
HGNC:4311	chr6	8.0	36.041
HGNC:7804	chr6	6.0	23.288
HGNC:28070	chr1	15.0	17.249
HGNC:25233	chr1	10.0	20.1
HGNC:3359	chr6	4.0	13.861
HGNC:10728	chr3	5.0	47.944
HGNC:1884	chr7	84.0	77.046
HGNC:22215	chr7	5.0	50.701
HGNC:2649	chr7	14.0	21.651
HGNC:1573	chr7	14.0	43.834
HGNC:9824	chr12	19.0	25.143
HGNC:936	chr11	4.0	5.779
HGNC:18449	chr4	15.0	25.739
HGNC:5194	chr4	5.0	9.4447
HGNC:80	chr7	15.0	23.848
HGNC:16267	chr7	11.0	15.537
HGNC:22195	chr7	14.0	86.355
HGNC:6762	chr7	30.0	41.985
HGNC:6513	chr17	1.0	16.762
HGNC:14975	chr17	12.0	17.525
HGNC:24930	chr7	5.0	11.263
HGNC:20581	chr2	1.0	16.349
HGNC:5343	chr7	11.0	31.561
HGNC:28455	chr16	7.0	8.4604
HGNC:443	chr2	36.0	92.198
HGNC:1500	chr2	19.0	21.658
HGNC:1876	chr2	1.0	27.395
HGNC:11760	chr2	4.0	16.222
HGNC:28816	chr2	27.0	23.494
HGNC:9902	chr3	3.0	57.458
HGNC:7454	chr8	27.0	37.911
HGNC:11060	chr8	21.0	29.813
HGNC:658	chr7	0.0	9.0614
HGNC:17074	chr17	18.0	23.362
HGNC:23781	chr17	5.0	22.67
HGNC:9107	chr3	7.0	83.865
HGNC:362	chr1	8.0	11.792
HGNC:1667	chr4	11.0	16.168
HGNC:3720	chr12	6.0	23.481
HGNC:29079	chr1	7.0	47.658
HGNC:9903	chr3	4.0	67.165
HGNC:1469	chr17	11.0	28.7
HGNC:9948	chr12	31.0	31.974
HGNC:25956	chr7	12.0	58.408
HGNC:26511	chr19	2.0	4.5734
HGNC:23085	chr19	14.0	53.852
HGNC:7694	chr16	1.0	6.3285
HGNC:8812	chr7	19.0	22.462
HGNC:20302	chr6	34.0	23.797
HGNC:19412	chr3	15.0	26.89
HGNC:46	chr7	60.0	65.992
HGNC:10983	chr7	38.0	40.254
HGNC:11351	chr7	4.0	34.738
HGNC:1728	chr17	6.0	43.313
HGNC:11027	chr17	8.0	41.381
HGNC:1440	chr7	18.0	28.778
HGNC:3086	chr17	14.0	33.317
HGNC:14368	chr16	6.0	12.594
HGNC:9962	chr19	4.0	56.338
HGNC:15687	chr7	9.0	23.44
HGNC:26076	chr4	13.0	15.287
HGNC:5101	chr7	0.0	9.0836
HGNC:9197	chr7	4.0	6.6375
HGNC:16718	chr17	14.0	32.259
HGNC:7013	chr17	7.0	10.358
HGNC:22207	chr7	14.0	101.75
HGNC:6600	chr17	25.0	51.191
HGNC:26151	chr12	14.0	37.699
HGNC:10522	chr16	26.0	34.184
HGNC:28050	chr16	7.0	15.727
HGNC:25666	chr9	3.0	18.527
HGNC:19356	chr17	11.0	11.116
HGNC:9392	chr7	1.0	21.6
HGNC:2348	chr16	3.0	118.35
HGNC:16831	chr17	23.0	90.221
HGNC:7218	chr17	25.0	30.491
HGNC:9204	chr7	17.0	19.773
HGNC:1317	chr2	39.0	43.668
HGNC:25770	chr2	18.0	20.351
HGNC:2366	chr7	40.0	44.399
HGNC:45	chr7	24.0	66.403
HGNC:18541	chr7	1.0	78.607
HGNC:23082	chr7	2.0	11.901
HGNC:11203	chr16	2.0	12.291
HGNC:17853	chr6	18.0	64.58
HGNC:12986	chr11	5.0	9.1348
HGNC:23386	chr13	18.0	232.84
HGNC:13599	chr13	1.0	16.464
HGNC:6148	chr16	17.0	61.964
HGNC:8810	chr17	12.0	21.165
HGNC:6139	chr17	22.0	58.851
HGNC:6138	chr17	36.0	62.904
HGNC:16009	chr7	16.0	17.175
HGNC:29644	chr16	10.0	14.465
HGNC:26098	chr19	6.0	8.1251
